study_id,mext_code,school_name,yotsuya_deviation_value,establishment,school_type,area,prefecture,address,postal_code,study_url
B13N003,C113110000050,筑波大学附属駒場中学校,73,国立,男子校,東京23区,東京都,東京都世田谷区池尻４－７－１,1540001,https://www.study1.jp/kanto/school/B13N003/
B12P006,C112310000155,渋谷教育学園幕張中学校,72,私立,共学校,千葉県,千葉県,千葉県千葉市美浜区若葉１－３,2610014,https://www.study1.jp/kanto/school/B12P006/
B13P009,C113310500033,桜蔭中学校,71,私立,女子校,東京23区,東京都,東京都文京区本郷１－５－２５,1130033,https://www.study1.jp/kanto/school/B13P009/
B13P015,C113311800010,開成中学校,71,私立,男子校,東京23区,東京都,東京都荒川区西日暮里４－７－７,1160013,https://www.study1.jp/kanto/school/B13P015/
B13P046,C113311300051,渋谷教育学園渋谷中学校,71,私立,共学校,東京23区,東京都,東京都渋谷区渋谷１－２１－１８,1500002,https://www.study1.jp/kanto/school/B13P046/
B13P027,C113310300026,慶應義塾中等部,70,私立,共学校,東京23区,東京都,東京都港区三田２－１７－１０,1080073,https://www.study1.jp/kanto/school/B13P027/
B15P024,C114310000082,聖光学院中学校,70,私立,男子校,神奈川県,神奈川県,神奈川県横浜市中区滝之上１００,2310837,https://www.study1.jp/kanto/school/B15P024/
B13N002,C113110000041,筑波大学附属中学校,70,国立,共学校,東京23区,東京都,東京都文京区大塚１－９－１,1120012,https://www.study1.jp/kanto/school/B13N002/
B13P100,C113311600049,豊島岡女子学園中学校,70,私立,女子校,東京23区,東京都,東京都豊島区東池袋１－２５－２２,1700013,https://www.study1.jp/kanto/school/B13P100/
B12P001,C112310000048,市川中学校,69,私立,共学校,千葉県,千葉県,千葉県市川市本北方２－３８－１,2720816,https://www.study1.jp/kanto/school/B12P001/
B11P012,C111310400018,栄東中学校,69,私立,共学校,埼玉県,埼玉県,埼玉県さいたま市見沼区砂町２－７７,3370054,https://www.study1.jp/kanto/school/B11P012/
B13P061,C113310100082,女子学院中学校,69,私立,女子校,東京23区,東京都,東京都千代田区一番町２２－１０,1020082,https://www.study1.jp/kanto/school/B13P061/
B13C004,D213299900022,東京都立小石川中等教育学校,69,公立中高一貫,共学校,東京23区,東京都,東京都文京区本駒込２－２９－２９,1130021,https://www.study1.jp/kanto/school/B13C004/
B13P111,C113310300053,広尾学園中学校,69,私立,共学校,東京23区,東京都,東京都港区南麻布５－１－１４,1060047,https://www.study1.jp/kanto/school/B13P111/
B14P045,C113321400013,早稲田実業学校中等部,69,私立,共学校,東京23区外,東京都,東京都国分寺市本町１－２－１,1858505,https://www.study1.jp/kanto/school/B14P045/
B15P016,C114320500040,慶應義塾湘南藤沢中等部,68,私立,共学校,神奈川県,神奈川県,神奈川県藤沢市遠藤５４６６,2520816,https://www.study1.jp/kanto/school/B15P016/
B13P136,C113310400061,早稲田中学校,68,私立,男子校,東京23区,東京都,東京都新宿区馬場下町６２,1628654,https://www.study1.jp/kanto/school/B13P136/
B13P114,C113310100108,雙葉中学校,67,私立,女子校,東京23区,東京都,東京都千代田区六番町１４－１,1028470,https://www.study1.jp/kanto/school/B13P114/
B15P003,C114320400014,栄光学園中学校,66,私立,男子校,神奈川県,神奈川県,神奈川県鎌倉市玉縄４－１－１,2470071,https://www.study1.jp/kanto/school/B15P003/
B13P014,C113310400016,海城中学校,66,私立,男子校,東京23区,東京都,東京都新宿区大久保３－６－１,1690072,https://www.study1.jp/kanto/school/B13P014/
B13P041,C113311200025,駒場東邦中学校,66,私立,男子校,東京23区,東京都,東京都世田谷区池尻４－５－１,1540001,https://www.study1.jp/kanto/school/B13P041/
B12P009,C112310000137,昭和学院秀英中学校,66,私立,共学校,千葉県,千葉県,千葉県千葉市美浜区若葉１－２,2610014,https://www.study1.jp/kanto/school/B12P009/
B15P029,C114313000031,洗足学園中学校,66,私立,女子校,神奈川県,神奈川県,神奈川県川崎市高津区久本２－３－１,2138580,https://www.study1.jp/kanto/school/B15P029/
B15C005,C114210020106,横浜市立横浜サイエンスフロンティア高等学校附属中学校,66,公立中高一貫,共学校,神奈川県,神奈川県,神奈川県横浜市鶴見区小野町６,2300046,https://www.study1.jp/kanto/school/B15C005/
B13P002,C113311300015,青山学院中等部,65,私立,共学校,東京23区,東京都,東京都渋谷区渋谷４－４－２５,1508366,https://www.study1.jp/kanto/school/B13P002/
B13P003,C113310300017,麻布中学校,65,私立,男子校,東京23区,東京都,東京都港区元麻布２－３－２９,1060046,https://www.study1.jp/kanto/school/B13P003/
B11P001,C111310900013,浦和明の星女子中学校,65,私立,女子校,埼玉県,埼玉県,埼玉県さいたま市緑区東浦和６－４－１９,3360926,https://www.study1.jp/kanto/school/B11P001/
B13P010,C113311200034,鷗友学園女子中学校,65,私立,女子校,東京23区,東京都,東京都世田谷区宮坂１－５－３０,1568551,https://www.study1.jp/kanto/school/B13P010/
B13N001,C113110000069,お茶の水女子大学附属中学校,65,国立,共学校,東京23区,東京都,東京都文京区大塚２－１－１,1128610,https://www.study1.jp/kanto/school/B13N001/
B14P005,C113320300043,吉祥女子中学校,65,私立,女子校,東京23区外,東京都,東京都武蔵野市吉祥寺東町４－１２－２０,1800002,https://www.study1.jp/kanto/school/B14P005/
B15P017,C114310000199,慶應義塾普通部,65,私立,男子校,神奈川県,神奈川県,神奈川県横浜市港北区日吉本町１－４５－１,2230062,https://www.study1.jp/kanto/school/B15P017/
